hotel,agent,company,country,market_segment,distribution_channel,customer_type,Random_Forest_Probability,Calibrated_Random_Forest_Probability,Naive_Bias_Probability,Isotonic_Calibrated_Naive_Bias_Probability,Sigmoid_Calibrated_Naive_Bias_Probability,cancelation_Score,prediction,actual_value
Resort Hotel,,,GBR,Direct,Direct,Transient,0.3240382484540901,0.3259977715022169,0.12354520094189171,0.15692115003596913,0.21336108152560246,0.22734498153659097,0,0
Resort Hotel,240.0,,GBR,Online TA,TA/TO,Transient,0.43287245244005534,0.5478008246429882,0.8667466614185795,0.5359442526605163,0.3834568025520327,0.5890276823448891,1,0
Resort Hotel,240.0,,IRL,Online TA,TA/TO,Transient,0.46056420442722557,0.6257277258572699,0.07804868153057207,0.13915668580902835,0.20348442578111436,0.316376861563997,0,0
Resort Hotel,,110.0,FRA,Corporate,Corporate,Transient,0.2805872961397821,0.1677844211255953,0.3658604133548258,0.25551924358778527,0.2230170738401706,0.2552822764683993,0,0
Resort Hotel,241.0,,GBR,Online TA,TA/TO,Transient,0.36125885277117337,0.3214159015075403,0.509844357330742,0.3256441633313,0.24445301130966496,0.3630737136669926,0,0
Resort Hotel,250.0,,PRT,Direct,Direct,Transient,0.1581628918914584,0.05993134483227247,0.009639615757445309,0.11023882750763062,0.19708791409076476,0.08486473032285646,0,0
Resort Hotel,8.0,,IRL,Offline TA/TO,TA/TO,Contract,0.3200847387185236,0.2406422123240693,0.010195910212090934,0.11076615795268048,0.19708791409076476,0.16740704354543218,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.3416191543016969,0.28090458412391994,0.9171157032822355,0.5669918637224338,0.4302479444794066,0.5307559502212994,1,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.32981853435313463,0.27179648438866305,0.9186694092316955,0.5679153878905622,0.4302479444794066,0.5262797276730858,1,0
Resort Hotel,241.0,,PRT,Online TA,TA/TO,Transient,0.20445642865286967,0.10084244019486262,0.41315689655700594,0.2773905523881015,0.22735888248743247,0.23698626436279713,0,0
Resort Hotel,,,ESP,Direct,Direct,Transient,0.18610740585236013,0.08519311955088112,0.0944842027802678,0.1454647203635781,0.20893271419606677,0.1264353750578077,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.43251325125351164,0.6155930771768452,1.0,0.6159322945808705,0.9165573462950529,0.7682503919481878,1,1
Resort Hotel,243.0,,GBR,Offline TA/TO,TA/TO,Contract,0.13114781662871547,0.039274327716070506,0.00026743830581168993,0.10621533100374378,0.19708791409076476,0.07050185676912536,0,0
Resort Hotel,156.0,,NOR,Offline TA/TO,TA/TO,Transient-Party,0.1020335229139061,0.03462513556378646,0.12520045008200642,0.15787528374828813,0.21336108152560246,0.1045333451911977,0,0
Resort Hotel,156.0,,IRL,Offline TA/TO,TA/TO,Contract,0.43918741102199826,0.5293579788479125,0.050782602654462786,0.12877921954529192,0.2000381569942787,0.2790224245719289,0,0
Resort Hotel,,,ESP,Direct,Direct,Transient,0.05747321611082266,0.02577491363708549,1.0,0.5756828772584626,0.8850223066287516,0.5205698108671968,1,0
Resort Hotel,,,PRT,Direct,Direct,Transient,0.1757117924617458,0.07732052431465884,0.0026640907517940246,0.10730009629857269,0.19708791409076476,0.09109004924934778,0,0
Resort Hotel,,,PRT,Direct,Direct,Transient,0.19573810689979193,0.08910541709715808,0.1311187640226776,0.15980826555160008,0.21336108152560246,0.14177474172512364,0,0
